,Nome Vinho,Localidade,Harmoniza,Avaliação,Uva,Sentimento
299,Domaine Parigot Pommard 1er Cru 'Les Charmots' 2014,"Pommard 1er Cru 'Les Charmots', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very,Pinot Noir,neutral
303,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Always amazing Ive taking Cave Geisse 15 years I cease positively surprised praised Cherry strawberry syrup delicate acidity Complexity subtlety Incredible,Pinot Noir,positive
304,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Very light onion peel rosé fine persistent perlage Red fruits toasted notes nose In mouth great structure acidity refreshing and time complex Beautiful Brazilian sparkling wine,Pinot Noir,positive
305,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Excellent Brazilian sparkling wine 48 months autolysis Copper yellow color aroma bread butter fine elegant persistent perlage On palate full acidity unctuousness Harmonized roasted salmon spices vegetables Merry Christmas advance,Pinot Noir,positive
306,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Always excellence Brazilian sparkling wine Cherry notes hint brioche,Pinot Noir,positive
307,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Sparkling wine high quality persistence impeccable acidity Risé my thing RF 93,Pinot Noir,positive
311,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Wonderful Geisse cave Proud gaucho masterpiece,Pinot Noir,positive
317,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",I loved Super dry correct Light cream notes background,Pinot Noir,positive
319,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",I expected sparkling wine inside delivers pleasant aromas red fruits cherries strawberry syrup slight toast mouth soft elegant acidity medium persistence sparkling wine Health 89,Pinot Noir,positive
322,Cave Geisse Terroir Rosé Nature 2018,"Pinto Bandeira, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Very good excellent international quality sparkling wine local price,Pinot Noir,positive
323,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Rating number 1000  New Years Eve Champagne This time Prague In company beauty Great start 2023 zdraví,Pinot Noir,neutral
324,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",A worthy French Champagne brut reserve striking straw color fruity perfect 2018 Christmas celebrations,Pinot Noir,positive
325,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Starting friends birthday beautiful 15 liter specimenSoon surprisesVery refreshing fruity,Pinot Noir,positive
326,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Another bottle Taittinger Yesterday Christmas dinner today burial bones I notes previous post Health,Pinot Noir,neutral
327,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Light golden color A fine intense perlage Bread toast aromas floral Very balanced acidity alcohol A great wine,Pinot Noir,positive
328,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Special champagne perfect unforgettable moments Tasted friends occasion special birthday Recife Health,Pinot Noir,positive
329,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",I love champagne striking acidity great creaminess medium body notes brioche honey citrus fruit Very balanced elegant,Pinot Noir,positive
330,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",This champagne chosen celebrate arrival year fabulous sparkling wine apple aroma refreshing,Pinot Noir,positive
331,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",A plate respect years turn hell exuberant perlage pear green apple brioche May 2022 ForaBolsonaro,Pinot Noir,neutral
332,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Wonderful champagne Dry buttery Peach pineapple green apple Fine perlage Turn year 20212022 place 43,Pinot Noir,neutral
333,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Beautiful bright straw yellow striking fruity aroma minerality beautiful perlage dynamic mouth unforgettable sensory festival,Pinot Noir,positive
334,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Great starter Champagne great Taittinger Straw yellow fine abundant perlage mineral aromas mouth dry elegant Very good,Pinot Noir,positive
335,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",An excellent champagne aromas Sicilian lemon pears apples toast brioche Complex creaminess persistence To repeat always,Pinot Noir,positive
336,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Living reputation beautiful champagne impeccable Very acidic brings citric fruits yeast nose plenty acidity mouth fine present perlage,Pinot Noir,neutral
337,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Without TN wish Happy 2021 beautiful moon shines sky bring health success happiness losing hope,Pinot Noir,neutral
338,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Straw yellow color size amount bubbles nice perlage Aromas brioche aromatic herbs mouth creamy long persistence,Pinot Noir,neutral
339,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Great This Champagne mistake Fine consistent perlage acidity notes white fruits yeast light touch peanuts end,Pinot Noir,positive
340,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Excellent champagne delicate consistent perlage smooth fruit aromas acidity light toasted bread finish Great cost x benefit,Pinot Noir,positive
341,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Almost level widow Straw yellow Fine persistent perlage medium acidity great creaminess refreshing Pear aroma Persian lime,Pinot Noir,neutral
342,Taittinger Brut (Réserve) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Good champagne kind It excellent option New Years Eve niece brightened breakfast 1st January,Pinot Noir,positive
343,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Great champagne Light straw yellow color Great perlage fine homogeneous constant pockets Beautiful foam formation Aromas citrus fruits pineapple green apple It toasted yeast aromas In mouth balance sec Acidity sweetness measure Light toasted aftertaste Very refreshing I liked,Pinot Noir,positive
344,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Wonderful champagne Light straw yellow peach apricot aromas Fine abundant perlage Good acidity fruit,Pinot Noir,positive
345,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Very good Although demisec smooth balanced We bought directly MC Reims sensational tour cellars,Pinot Noir,positive
346,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Sensational especially demisec A aged made familiar interesting Very good,Pinot Noir,positive
347,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Very tasty champagne enjoyed breakfast cheeses caviar Color yellow delicate perlage continues In mouth delicate sweet smooth,Pinot Noir,positive
348,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Surprising demisec smooth sweet notes made appreciate more Fine perlage notes vanilla buttery brioche MC disappoints,Pinot Noir,neutral
349,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Golden sparkling wine aromas lime pear apricot vanilla butter toast honey,Pinot Noir,neutral
350,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Sunday lunch Visconde Mauá Coronga prowl EXCEPTIONAL Champa composed Chardonnay Pinot Meunier Noir varieties balanced balanced harmonic integrated persistent the  intense bright straw yellow fine abundant perlage  complex clean brought aromas dried fruits brioches  toasted mineral touch  medium dry M acidity creamy texture Harmonious pleasant persistent finish Rating 43 pity regrets,Pinot Noir,positive
351,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Yellow pulled gold Green apple apricot banana sweet spices nose Homogeneous delicate perlage Intense persistent striking honey ripe fruit flavor Short strong finish,Pinot Noir,neutral
352,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Exceptional Champagne medium lemon yellow pronounced aromas green fruits breading vanilla In mouth wine medium dry high acidity medium body alcohol The flavors bring apple pear vanilla nuts hints honey caramel Long finish,Pinot Noir,positive
353,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Strawyellow medium shade perlage string pearls fine persistent Nuts toasted bread brioche Sicilian lemon honey touches Candid acidity freshness cutting voluptuous mousse medium body It exudes charm honey toasted bread finish With Brie pastries honey 93 GGP,Pinot Noir,positive
354,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",It beautiful pale color citric tropical light floral aromas On palate plenty freshness elegance strategic sweetness A classic maintains tradition regularity Cheers friends,Pinot Noir,positive
355,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",43 ABSSP tasting maisons A beautiful demisec champagne elegant balanced residual sugar Lots acidity ripe white fruit breading notes minerality We paired apricot tart perfectly well Residual sugar 45gl balance Great champagne,Pinot Noir,positive
356,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",During celebrations daughters twentieth birthday I opportunity taste Moet  Chandon demisec Despite acknowledging champagne definitely cup tea I appreciate extremely high level quality precision My regret excessive sweetness compromise final result close perfection,Pinot Noir,positive
357,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Light straw yellow Intense nonaggressive velvety perlage On nose complex bread mineral pleasant toasty light citrus In mouth buttery toasty honey medium acidity Citrus herbaceous aftertaste Incredibly silky finish citrus floral ending honey A show,Pinot Noir,positive
358,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Champagne tasting Três Maisons ABSSP Date 28092022  yellow  pale Abundant fine active perlage  delicate aroma white citrus fruits apricot pear mineral chalk floral It evolving wine  medium dry medium  acidity medium alcohol light body medium flavor intensity repeats  medium finish Great wine open DD 42,Pinot Noir,positive
359,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",An excellent champagne sec lacked bit sweet smoothness characteristic category Its brut But excellent champagne It everyone especially female audience It toast majority women It successful,Pinot Noir,positive
360,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",43  My wife I taste wonderful champagne New Years Eve God recovered Covid19  Made Pinot Noir Pinot Meunier Chardonnay grapes Light straw color great perlage elegant sweetness acidity harmonized unctuous touches vanilla green apple toast How smell taste again   Take care Happy New Year,Pinot Noir,positive
361,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",92100 Continuing 10th celebration move classic Champagne gift wifes patients Second time I drink I notch tasted good Straw yellow glass multiple fine persistent bubbles extravagant aroma fresh fruit combines honey toasted notes dried fruit bread In mouth sweet creamy fresh balance flavors almond stands out Sharp acidity finishes long elegant,Pinot Noir,positive
362,Moët & Chandon Nectar Impérial (Demi-Sec) Champagne N.V.,"Champagne, França","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles",Nectar Impérial Moët  Chandons boldest unexpected champagne It reflects diversity complementarity champagne grapes richness vineyards region reveals magic elegant beloved DemiSec champagne world,Pinot Noir,positive
363,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Wine complexity thin flavor fullbodied suit it beginners wine Argentines,Pinot Noir,neutral
364,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Excellent balance robust medium body harmonic tannins red fruits hints pomegranate cherry excellent acidity,Pinot Noir,positive
366,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",This Argentinian Pinot Noir good Paired light meat Fruity aromas reminiscent plums present acidity Good persistence woody touch predominate light body easy drink Great option Received 91 points,Pinot Noir,positive
368,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Finally Clan Alma Negra finalized After mystery Blend Blac The cultured Pinot Noir It needed complete saga harmonious unique wine Red fruits mix black fruits Young wine Fruity Balanced Light tannins But signature Black soul Final grade 91100,Pinot Noir,positive
370,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Hard miss Black Soul Splendid Pinot Noar lots strawberry raspberry cassis medium long,Pinot Noir,neutral
371,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",People dinner Cumpadre wine super spectacular Cecilia A toast wine present educate us,Pinot Noir,neutral
381,Alma Negra Pinot Noir 2021,"Mendoza, Argentina","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Fruity woody complex It takes show aromas Velvety mouth structure long finish Great wine One Pinot Ive tasted,Pinot Noir,positive
383,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Aromas yellow fruit yeast More robust sparkling wine excellent accompany heavier dishes pork etc,Pinot Noir,positive
384,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Excellent sparkling wine Straw yellow color Very fresh accentuated citrus aromas Persistent perlage Of level champagne,Pinot Noir,positive
385,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Wonderful sparkling wine Cave Geisse 100 Pinot Noir Pineapple peach Fine pimples light yellow color For Fathers Day appetizers,Pinot Noir,positive
386,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Great Tasted winery compared Blanc Blanc Brut Rosé Extra Brut It ranked 2nd ranking But exceptional national average,Pinot Noir,positive
388,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",The national sparkling wine evolves Blanc Noir proves it Light straw yellow color slightly greenish halos Very elegant constant perlage Mineral nose unctuousness peaches almonds toasted bread In mouth surprising great body definitely sparkling wine personality presence Buttery refreshing amount acidity perfect finish I bought directly winery R9000,Pinot Noir,positive
389,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Made selection Geisse base wines 100 Pinot Noir aged 36 months Fruity citric complex structure Production limited 7200 bottles A great sparkling wine owes expensive ones Doubt Try blind,Pinot Noir,neutral
390,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",straw yellow color fine barely perceptible perlage  plenty yeast fresh bread time fruity  perfect acidity 35 balanced Sensational Light body 25 lot presence Dry 25 Sensational,Pinot Noir,neutral
391,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Medium gold Medium intensity aroma tropical fruits pineapple zest soursop fermentation cream brioche Dry cornmeal consistent perflage medium body medium acidity medium finish more,Pinot Noir,neutral
392,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Show Top Too information VIVINO wrong sparkling wine costing 12000 average April2016,Pinot Noir,neutral
393,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Pinto Bandeira sparkling wine Lots roasting yeast Creamy delicate Stunning delicious,Pinot Noir,positive
397,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Great national sparkling wine Straw color Fruity light peach aroma Great acidity bothersome Great accompany antipasti,Pinot Noir,positive
398,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",An understand Brazilian sparkling wines special Beautiful floral perfume body freshness Delicia,Pinot Noir,positive
399,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",A great sparkling wine Slightly straw color Apple citrus fruit Very worth,Pinot Noir,positive
400,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Delicious Fruity With smooth aroma leaves presence marked,Pinot Noir,positive
401,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Blanc Noir sparkling wine made 100 Pinot Noir Yeast roasting green apple notes Great sparkling wine,Pinot Noir,positive
402,Cave Geisse Blanc de Noir Brut 2021,"Serra Gaúcha, Brasil","Carne de porco, Peixe (salmão, atum etc.), Marisco",Tasted 09172022 5th edition Brinda Brasil Brasília Shopping,Pinot Noir,neutral
404,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Intense red aroma red fruits mouth cherry blueberry white pepper,Pinot Noir,neutral
405,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Pinot noir ruby color aromas red fruits soft mouth Tannins acidity harmony Long persistent finish  It evolve lot,Pinot Noir,positive
407,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Note retrieved Brought France return vacation trips In glass beautiful garnet color dark The nose reveals fruity aromas spicy toasted smoked notes In mouth round attack full velvety silky tannins rich red fruits cherries raspberries currants blackberries persistence In summary I elegant charming wine,Pinot Noir,positive
417,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Backlog 20220615 Domaine Faiveley Grappe Full strawberries raspberries light fresh elegant Very tasty drink 20222032,Pinot Noir,positive
419,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Pale ruby colour Medium developing nose raspberries red cherry mushrooms forest floor wet leaves chocolate cocoa Medium taste raspberries red cherry mushrooms wet leaves forest floor chocolate cocoa Long dry finish High acidity Medium  tannins Medium body A NuitsSaintGeorges beginning maturation Needed hour air open Drink ten years Goes duck mushrooms poultry veal,Pinot Noir,neutral
420,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",New favorite Pinot Lovely things Smell wild raspberries hay strawberry cherry tobacco oak Nammmm Cant wait air hour,Pinot Noir,positive
421,Domaine Faiveley Nuits-Saint-Georges 2017,"Nuits-Saint-Georges, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Nose rich red berries ripe cherries cherry notes taste cherry Fullbodied rich dense tannins soft acidity,Pinot Noir,neutral
423,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",This great wine full red fruit fresh,Pinot Noir,positive
429,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Too sweet taste extremely aromatic Super Christmas,Pinot Noir,positive
430,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Easy  fruity  nice,Pinot Noir,positive
431,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",red fruit raspberry oak,Pinot Noir,neutral
432,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",It rich aroma light palate moderate weight it Strong blackberry aftertaste,Pinot Noir,positive
434,Domaine Chantal Lescure Pommard 'Les Vignots' 2019,"Pommard, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Top wine burgundy soft start bit firmer nice nose,Pinot Noir,neutral
443,Joseph Drouhin Côte de Beaune 2018,"Côte de Beaune, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",An excellent Burgundy wine belongs Cotê dOr region largely dedicated Pinot noir grape Woody tannins present measure correct acidity Balanced wine tasty easy drink Very good,Pinot Noir,positive
444,Joseph Drouhin Côte de Beaune 2018,"Côte de Beaune, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Wonderful light,Pinot Noir,positive
463,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Very good I agree Vivinos 42 rating Ready drink decanting decanted better Light easy like,Pinot Noir,positive
464,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Vinasse rouge I taste appellation notes raspberry cherry leather forest soil eucalyptus menthol cool producer,Pinot Noir,neutral
465,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Excellent wine intense translucent ruby Acidity alcohol initially high improving lot glass Aroma red fruits strawberry cherry vanilla wood minerals It worth leaving hour decanter43,Pinot Noir,positive
466,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A great Pinot Noir region Burgundy white wines An elegant balanced wine texture aromas fresh raspberry wet earth Medium acidity silky tannins surprisingly long finish Unfortunately price practiced national importer absolutely ridiculous But overall great wine,Pinot Noir,neutral
467,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Pale ruby On nose aromas red fruits raspberry cranberry cherry addition earthy notes spices minerality Dry mouth medium body medium acidity medium wellrounded tannins The fruit ripe,Pinot Noir,neutral
468,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",435  Ruby color strawberries cherries plums smell taste Very soft tannins prolonged finish,Pinot Noir,neutral
469,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Amazing Silky tannins Lots raspberry Closing wonderful trip coast Sauípe family parents fatherinlaw motherinlaw,Pinot Noir,neutral
470,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",38 Slightly acidic pinot wine smooth body vast majority  Slightly earthy red fruits beginning,Pinot Noir,neutral
471,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Wonderful Pinot Typical acidity light body pleasant wine super elaborated,Pinot Noir,positive
472,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",A French Pinot acidity red fruits worth price In winery Pinot vines level half price,Pinot Noir,neutral
473,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Tasty fragrant light,Pinot Noir,positive
474,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Olfactory alcoholic decanting ideal temperature Pinot noar palate reminiscent wet wood moss tobacco perfect permanence surprising wine,Pinot Noir,neutral
475,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Fruity delicate tannin Paired meats cheeses Pleasant sip,Pinot Noir,positive
476,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Spectacular I understand anything I drink,Pinot Noir,positive
477,Amiot Guy Vieilles Vignes Chassagne-Montrachet Rouge 2017,"Chassagne-Montrachet, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Simply Sensational I refuse comment gem,Pinot Noir,positive
